Gene	Microglia	Oligodendrocyte Mature	Oligodendroctye Myelinating	Oligodendroctye Precursor Cells	Committed Oligodendroctye Precursor Cells	Cerebrospinal Fluid-Contacting Neurons	Alpha motor neurons	Gamma motor neurons	Inhibitory	Epyndemal	Excitatory	Astrocyte	Endothelial	Vascular and Leptomeningeal Cells
Myo1c	0.105409255338946	0.0263981838674227	NA	0.0761860339856396	0.0566025141980128	NA	0.239956909566871	0.301083971797993	0.185121535517816	NA	0.123912489777166	0.0698490872130478	0.180578779628654	0.143838990445615
Myo1d	NA	0.747388290527401	0.706390016275924	0.0545589832434127	0.223441346896582	0.14142135623731	0.277350098112615	0.316227766016838	0.216455988246985	0.120824418666035	0.248018956329539	0.0542525639180773	0.424688970239263	0.143838990445615
Myo1e	0.13378001241813	0.659755441584906	0.174924853118546	0.0814800843726711	0.0878855596252013	NA	0.100503781525921	0.189405489524151	0.11445135462524	0.36236397526482	0.148332600253368	0.243325070997642	0.620592567740813	0.271211379029424
Myo1f	0.446476227157509	0.0373456843486636	0.0640841336112001	0.0406389919054146	0.0346271680532222	NA	NA	NA	0.054275033400887	0.0851256530758749	0.0624670670638037	0.0270963907301702	NA	0.047511433814558
Myo1g	NA	0.0263981838674227	0.0452678730212593	NA	NA	NA	NA	NA	NA	NA	0.0158970659108583	NA	NA	NA
Myo1h	NA	0.0263981838674227	0.0640841336112001	NA	NA	NA	0.100503781525921	0.114707866935281	0.052546738120159	NA	0.0679329642183106	NA	NA	NA
Myo3a	NA	NA	0.0452678730212593	0.0287242494810713	NA	NA	NA	0.163299316185545	0.052546738120159	NA	0.0275414869223928	NA	NA	NA
Myo3b	NA	NA	0.0452678730212593	NA	NA	1.01701985989138	0.165521177720474	0.163299316185545	0.0993053427416247	NA	0.089830047922572	0.0232327058248746	NA	0.047511433814558
Myo5a	0.356978470385238	0.357311682392507	0.352332131708822	0.424082914595144	0.447856144100726	0.462910049886276	0.574294551652424	0.824336218628226	0.530216253108965	0.282685708458927	0.479802764735225	0.206084952201516	0.180578779628654	0.250079757539116
Myo5b	NA	NA	0.0452678730212593	NA	NA	NA	0.100503781525921	0.154713186938819	0.127251594746066	0.0851256530758749	0.30834551867216	0.0383341585914639	NA	NA
Myo5c	NA	NA	0.0452678730212593	NA	NA	NA	NA	NA	0.052546738120159	0.120824418666035	0.0259652687161999	0.019156525704423	NA	NA
Myo6	0.214422506967559	0.633898875769002	0.83212136838339	0.184003961239027	0.275436074153499	0.14142135623731	0.487466678221432	0.642529405317179	0.26733297007589	0.326140434801843	0.258728171030438	0.637868497164032	0.3423358528871	0.245946982796989
Myo7a	0.184637236468999	0.0794162302769058	0.0857745240835178	0.0705053365746256	0.0600480576769077	NA	0.100503781525921	0.163299316185545	0.0999472417808345	0.267894563278916	0.133636348351017	0.0636519078860345	NA	NA
Myo7b	NA	NA	NA	NA	NA	NA	NA	NA	0.0214274782177742	NA	NA	NA	NA	NA
Myo9a	0.422107915678469	0.50127037045441	0.409614794183642	0.355910837376679	0.35568946446911	0.431331092813754	0.855634025305105	0.871822516632805	0.600525660440179	0.331490469785989	0.553234100471617	0.426102302436797	0.479853104496716	0.443328869280389
Myo9b	0.370809924354783	0.397752128056649	0.42953941738166	0.183960244899814	0.22189879402423	0.25	0.502602828623449	0.601954824515307	0.33903073700288	0.172132593164774	0.335297966759613	0.200480381047968	0.146647115021353	0.259134396035554
Myoc	NA	NA	NA	NA	NA	NA	NA	NA	0.0214274782177742	NA	0.0224846875206644	0.0507392935530357	NA	NA
Myocd	NA	0.052851642258169	NA	NA	0.0346271680532222	NA	0.100503781525921	NA	0.068867775980307	0.120824418666035	0.0766997474134213	0.019156525704423	NA	0.0953462589245592
Myod1	NA	NA	NA	NA	NA	NA	NA	0.114707866935281	NA	NA	NA	NA	NA	NA
Myof	NA	0.05606742111773	0.0452678730212593	0.0287242494810713	0.0346271680532222	NA	0.135388104721957	0.163299316185545	0.0350043211125975	0.120824418666035	0.0650283585478386	0.0469668218313862	0.272025632067167	0.302227694707392
Myom1	NA	NA	NA	0.0287242494810713	NA	NA	NA	NA	0.0214274782177742	NA	0.0158970659108583	NA	NA	NA
Myom2	0.105409255338946	NA	NA	NA	NA	NA	NA	NA	0.0214274782177742	NA	NA	NA	NA	0.0953462589245592
Myom3	NA	NA	NA	NA	NA	NA	0.100503781525921	NA	NA	NA	0.0158970659108583	0.0383341585914639	NA	0.0672672793996312
Myoz2	NA	NA	NA	NA	NA	NA	0.100503781525921	NA	NA	NA	NA	0.019156525704423	NA	NA
Myoz3	NA	0.0263981838674227	0.0452678730212593	NA	NA	NA	NA	NA	0.0214274782177742	NA	NA	NA	NA	NA
Mypn	NA	0.0263981838674227	NA	NA	0.0346271680532222	NA	NA	0.114707866935281	0.0428845013935118	NA	0.045003516037041	NA	NA	NA
Mypop	NA	0.0807710724212361	0.0908153218373	0.0781516222925553	0.085074295211124	NA	0.204124145231932	0.340502612303499	0.131845304365771	0.120824418666035	0.129274030387816	0.0606785392472833	0.103142124625879	0.0672672793996312
Myrf	NA	0.477545988400728	0.66874711542675	0.0643356265818723	0.375302635303935	NA	0.165521177720474	0.114707866935281	0.0744151167339224	NA	0.045003516037041	0.0542525639180773	NA	NA
Myrfl	NA	0.0263981838674227	0.0640841336112001	NA	NA	NA	NA	NA	0.0607036886578925	NA	0.0259652687161999	0.019156525704423	NA	0.047511433814558
Myrip	NA	0.18518003071899	0.101639453522718	0.181585782659922	0.16508985655168	0.234888087805881	0.427121098088625	0.76117796335147	0.445266518215793	0.29699258055022	0.32858796083626	0.317257089164979	0.209656967344384	0.0953462589245592
